hasselback,our_name
0retirFla,University of Florida
Aachen Univ,RWTH Aachen
Aachen Univ (RWTH),RWTH Aachen
Aachen Univ of Technology,RWTH Aachen
Aarhus,Aarhus University
Aberdeen,University of Aberdeen
Aberys,Aberystwyth University
Aberystw,Aberystwyth University
Abilene Chr,Abilene Christian University
Abilene Christian Univ,Abilene Christian University
Academy,University Academy
Acadia,Acadia University
Acadia Univ,Acadia University
Acadia University,Acadia University
ACGM,ACGM
Adams State,Adams State University
Adams State College,Adams State University
Addis Ababa,Addis Ababa University
Adelaide,University of Adelaide
Adelphi,Adelphi University
Adelphi University,Adelphi University
Adelphia,Adelphi University
Adrian,Adrian College
Adrian College,Adrian College
AGSM,Australian Graduate School of Management
Ahmadu Bel U,Ahmadu Bello University
AICPA,
AICPA-Audit,
Air FIT,Air Force Institute of Technology
Air Force,U.S. Air Force Academy
Air Force In,U.S. Air Force Academy
AIT,Asian Institute of Technology
Aix En Pr,Universite de Provence Aix Marseille 1
Aix-Mars,Aix Marseille University
Aix-Museil,Aix Marseille University
Aix-Prov,Universite de Provence Aix Marseille 1
Aixlmars,Universite de Provence Aix Marseille 1
Ajou Univ,Ajou University
Ajou University,Ajou University
Akron,University of Akron
Al-Azhar U,Al-Azhar University
Al-Birm,"University of Alabama, Birmingham"
Al-Huntsv,"University of Alabama, Huntsville"
Alab A&M,Alabama A&M University
Alabam,University of Alabama
Alabama,University of Alabama
Alabama A&M,Alabama A&M University
Alabama A&M University,Alabama A&M University
Alabama St,Alabama State University
Alabama State University,Alabama State University
Alabama-Birm,"University of Alabama, Birmingham"
Alabama-Hunt,"University of Alabama, Huntsville"
Alaska,University of Alaska Fairbanks
Alaska Pacif,Alaska Pacific University
Alaska Pacific University,Alaska Pacific University
Alaska SE,University of Alaska Southeast
Alaska-Anch,"University of Alaska, Anchorage"
Alaska-Ancho,"University of Alaska, Anchorage"
Alaska-Fairb,University of Alaska Fairbanks
Albany,University at Albany
Albany L,Albany Law School
Albany Law,Albany Law School
Albany St,Albany State University
Albany State,Albany State University
Albany State University,Albany State University
Alberta,University of Alberta
Albion,Albion College
Albion College,Albion College
Albion MI,Albion College
Albright,Albright College
Albright College,Albright College
Alcorn St,Alcorn State University
Alcorn State,Alcorn State University
Alcorn State University,Alcorn State University
Alderson Bro,Alderson Broaddus University
Alderson-Bro,Alderson Broaddus University
Alexan Egypt,Alexandria University
Alexandra U,Alexandria University
Alexandria,Alexandria University
Alexandria U,Alexandria University
Alfred,Alfred University
Alfred University,Alfred University
Allegheny,Allegheny College
Allegheny College,Allegheny College
Alliant Intl,Alliant International University
Alliant University,Alliant International University
Alma,Alma College
Alma College,Alma College
AM,
Am Cabinet,
Am Comm,
Am Grad,Thunderbird School of Global Management
Am Grad Intl,Thunderbird School of Global Management
Am Grad Sch,Thunderbird School of Global Management
Am Hosp Asso,
Am Intl,American International College
Am London,American University of London
Am Produc TX,
AM Stan,
Am Un-Cairo,"American University, Cairo"
Am World,American World University
Ambassodor,
Amer Col,American College
American,American College
American Col,American College
American College,American College
