ID,scopus_name,scopus_id,grad_year
"A'Hearn, Brian;University of California, Berkeley;1994","A'Hearn, Brian",6602906551,1994
"Aadland, David;University of Oregon;1997","Aadland, David M.",6602836339,1997
"Aarstol, Michael P.;Stanford University;1996","Aarstol, Michael P.",7801527404,1996
"Aase, Gerald;Indiana University;1998","Aase, Gerald R.",6506005732,1998
"Aase, Knut K.;University of California, Berkeley;1979","Aase, Knut Kristian",7003814330,1979
"Abad, Prakash L.;University of Cincinnati","Abad, Prakash L.",7006559091,
"Abadeer, Adel;Boston University;1992","Abadeer, Adel S.Z.",57140715400,1992
"Abarbanell, Jeffery S.;University of Pennsylvania;1989","Abarbanell, Jeffery S.",6602781434,1989
"Abbasi, Sami M.;Mississippi State University;1982","Abbasi, Sami M.",7103412196,1982
"Abbey, Augustus;University of Arizona;1981","Abbey, Augustus",35762981100,1981
"Abbott, Ashok B.;Virginia Polytechnic Institute and State University;1987","Abbott, Ashok",55944173900,1987
"Abbott, Jarold G.;Massachusetts Institute of Technology;1960","Abbott, Jarold G.",7201623833,1960
"Abbott, Lawrence J.;University of Oregon;1998","Abbott, Lawrence J.",8068259000,1998
"Abboushi, Suhail;University of Pittsburgh;1984","Abboushi, Suhail",56798361900,1984
"Abdallah, Kamel;Ohio State University;1991","Abdallah, Kamel",56470593700,1991
"Abdallah, Wagdy M.;University of North Texas;1982","Abdallah, Wagdy M.",35361461100,1982
"Abdel-Kader, Magdy;University of Bristol;1997","Abdel-Kader, Magdy G.",7005309470,1997
"Abdel-Kader, Magdy;UWE;1997","Abdel-Kader, Magdy G.",7005309470,1997
"Abdel-khalik, A. Rashad;University of Illinois;1972","Abdel-Khalik, A. Rashad",57189166132,1972
"Abdel-Rahman, Hesham M.;University of Pennsylvania;1987","Abdel-Rahman, Hesham M.",7005061066,1987
"Abdih, Yasser;George Washington University;2003","Abdih, Yasser",14048115700,2003
"Abdulahad, Faraj;Boston College;1968","Abdulahad, Faraj",35762596400,1968
"Abdulkadiroglu, Atila;University of Rochester;2000","Abdulkadiroǧlu, Atila",6508019089,2000
"Abdulkadiroglu, Atila;University of Rochester;2001","Abdulkadiroǧlu, Atila",6508019089,2001
"Abdullah, Fuad A.;University of Pennsylvania;1957","Abdullah, Fuad A.",24350680200,1957
"Abegaz, Berhanu;University of Pennsylvania;1982","Abegaz, Berhanu",57208699538,1982
"Abel, Andrew B.;Massachusetts Institute of Technology;1978","Abel, Andrew B.",7004484373,1978
"Abell, Peter","Abell, Peter",7003331334,1970
"Abelson, Michael A.;Pennsylvania State University;1981","Abelson, Michael A.",7005842744,1981
"Abernathy, Lewis M.;University of Oklahoma;1967","Abernathy, Lewis M.",57013111600,1967
"Abernethy, Margaret A.;La Trobe University;1989","Abernethy, Margaret A.",7004386248,1989
"Abetti, Pier A.;Illinois Institute of Technology;1953","Abetti, Pier A.",7004025317,1953
"Abeysekera, Sarath P.;Texas A&M University;1985","Abeysekera, Sarath P.",36010249700,1985
"Abhyankar, Abhay H.;University of Strathclyde;1988","Abhyankar, Abhay H.",8507847000,1988
"Abhyankar, Abhay;University of Strathclyde","Abhyankar, Abhay H.",8507847000,1988
"Aboody, David;University of California, Berkeley;1995","Aboody, David",6602515979,1995
"Abouzeid, Kamal M.;University of Texas at Austin;1974","Abouzeid, Kamal M.",24545292500,1974
"Abraham, Anne;University of Wollongong;1999","Abraham, Anne A.",7202760128,1999
"Abraham, Arpad;Pompeu Fabra University;2002","Ábrahám, Árpád",23468733400,2002
"Abraham, Stanley C.;University of California, Los Angeles;1976","Abraham, Stan C.",9132512000,1976
"Abraham, Yohannan T.;University of Oklahoma;1976","Abraham, Yohannan T.",56969765600,1976
"Abrahamson, Eric;New York University;1990","Abrahamson, Eric",55409009800,1990
"Abramis, David J.;University of Michigan;1985","Abramis, David J.",6507594891,1985
"Abramitzky, Ran;Northwestern University;2005","Abramitzky, Ran",16066560800,2005
"Abramowicz, Kenneth F.;University of Missouri;1991","Abramowicz, Kenneth F.",38860989600,1991
"Abrams, Burton A.;Ohio State University;1974","Abrams, Burton A.",7006200519,1974
"Abrams, Eric;University of Iowa;1997","Abrams, Eric",7006446145,1997
"Abreu, Dilip;Princeton University;1983","Abreu, Dilip",6603101700,1983
"Abrevaya, Jason;Massachusetts Institute of Technology;1996","Abrevaya, Jason",6603457657,1996
"Absher, R. Keith;University of Arkansas;1985","Absher, Keith",16067933400,1985
"Abu-Musa, Ahmad A.;University of Aberdeen;2001","Abu-Musa, Ahmad A.",12809049400,2001
"Abugri, Benjamin A.;UIPA;2002","Abugri, Benjamin A.",6504322889,2002
"Aburachis, Abdelrahman E.;University of Pittsburgh;1972","Aburachis, A. T.",57191132767,1972
"Aburachis, Abdelrahman T.;University of Pittsburgh;1972","Aburachis, A. T.",57191132767,1972
"Aburachis, Abe;University of Pittsburgh;1973","Aburachis, A. T.",57191132767,1973
"Aburachis, Abelraham E.;University of Pittsburgh;1973","Aburachis, A. T.",57191132767,1972
"Aby, Carroll D. Jr.;Louisiana State University;1968","Aby, Carroll D.",16418601900,1968
"Aby, Carroll D.;Louisiana State University;1968","Aby, Carroll D.",16418601900,1968
"Aby, Carroll Darden Jr.;University of Southern Mississippi;1964","Aby, Carroll D.",16418601900,1964
"Acar, William;University of Pennsylvania;1983","Acar, William",6602812824,1983
"Ace, Merle;University of Minnesota;1972","Ace, Merle E.",24572558900,1972
"Acemoglu, Daron;London School of Economics and Political Science;1992","Acemoglu, Daron",7003483273,1992
"Achampong, Francis;Georgetown University;1985","Achampong, Francis K.",16404449400,1985
"Achampong, Francis;University of London;1981","Achampong, Francis K.",16404449400,1981
"Acharya, Sankarshan;Northwestern University;1986","Acharya, Sankarshan",7202925061,1986
"Acharya, Viral;New York University;2002","Acharya, Viral V.",7005203497,2002
"Acker, D.;University of Bristol;1998","Acker, Daniella",15134739100,1999
"Acker, Daniella E.","Acker, Daniella",15134739100,1999
"Acker, Daniella E.;University of Bristol;1999","Acker, Daniella",15134739100,1999
"Acker, Mary H.;Fordham University;1982","Acker, Mary H.",7006926001,1982
"Ackerberg, Daniel;Yale University;1997","Ackerberg, Daniel A.",6506782186,1997
"Ackermann, Carl;University of North Carolina;1998","Ackermann, Carl",7005401042,1998
"Ackert, Lucy F.;Emory University;1990","Ackert, Lucy F.",6701651018,1990
"Acland, C. Derek;University of North Carolina;1973","Acland, Derek",24549320500,1973
"Acs, Zoltan J.;The New School;1980","Ács, Zoltán J.",7005267087,1980
"Adair, Lorinda P. (Lyn);Indiana University;1998","Adair, Lorinda P.",7005651932,1998
"Adair, Lorinda P.;Indiana University;1998","Adair, Lorinda P.",7005651932,1998
"Adam, Chris;Harvard University","Adam, Chris",57205871587,
"Adam, Tim;University of Virginia;1997","Adam, Tim",23567455400,1997
"Adaman, Fikret;University of Manchester;1993","Adaman, Fikret",6602720025,1993
"Adamovich, Ljubisa S.;University of Belgrade;1961","Adamovich, Ljubiša S.",16404341600,1961
"Adams, Arthur J.;University of Iowa;1978","Adams, Arthur J.",7401909678,1978
"Adams, Barbara L.;Texas A&M University;1981","Adams, Barbara L.",16404048800,1981
"Adams, Brian;Arizona State University;2003","Adams, Brian J.",28767520100,2003
"Adams, Dennis;Texas Tech University;1988","Adams, Dennis A.",7404054224,1988
"Adams, Donald R. Jr.;University of Pennsylvania;1967","Adams, Donald R.",55460434400,1967
"Adams, F. Gerard;University of Michigan;1956","Adams, F. Gerard",7201650417,1956
"Adams, F. Gerard;University of Michigan;1969","Adams, F. Gerard",7201650417,1956
"Adams, James D.;University of Chicago;1976","Adams, James D.",24545208800,1976
"Adams, Janet S.;University of Arkansas;1988","Adams, Janet S.",55066042700,1988
"Adams, Jean W.;University of Illinois;1973","Adams, John W.L.",7404783407,1973
"Adams, Michael K.;University of Arkansas;1986","Adams, Michael Q.",57029612800,1986
