faculty,institution
"Abbasi, Nishat;University of Colorado;1987",Metropolitan State University of Denver
"Abbondante, Paul;Virginia Polytechnic Institute and State University;1978",University of La Verne
"Abbott, John B.;University of North Texas;2000","University of Tennessee, Chattanooga"
"Abdala, Khaled;Birmingham University;1998",University of Essex
"Abdel-Magid, Moustafa F.;University of Illinois;1972",Simon Fraser University
"Abdelsayed, Wafeek H.;University of Connecticut;1996",Southern Connecticut State University
"Abdelwahed, Farouk H.;University of California, Los Angeles;1973","California State University, Fullerton"
"Abderhalden, Richard O.;University of North Carolina;1994",University of Washington Bothell
"Abdul-Raheem, Ali;University of Manchester;1966",Kuwait University
"Abdullah, Dewan A.;University of Kentucky;1984",Eastern Michigan University
"Abdullah, Siddiq;Boston University;1989",Pine Manor College
"Abekah, Joseph Yaw;University of Nebraska;1991",University of New Brunswick
"Abernathy, Jeff;Florida State University",Augustana College
"Abghori, M. Hossein;University of Georgia;1982",Morehouse College
"Able, Teshome;Northern Illinois University;1989",Eastern Illinois University
"Abou-Zeid, Bassem;University of Oklahoma;1990",Bethel University (Minnesota)
"AbouMundour, Ahmed;Alexandria University;1974",King Saud University
"Abraham, Fred J.;University of Oregon;1973",University of Northern Iowa
"Abrahams, Nii Adote;Pennsylvania State University;1996",Missouri Southern State University
"Abrahamse, Dorothy Z.;University of Michigan;1967","California State University, Long Beach"
"Achstatter, J.",SUNY Old Westbury
"Ackerman, Grant;Columbia University;2000",Rutgers University
"Adair, Troy A. Jr.;Indiana University;1996",Alma College
"Adamou, Nikolaos K.;Rensselaer Polytechnic Institute;1992",Russell Sage College
"Adams, Earl W. Jr.;Massachusetts Institute of Technology;1971",Allegheny College
"Adams, Helen D.;University of Washington;1986",University of Washington
"Adams, John R.;Syracuse University;1974",Western Carolina University
"Adams, Kathy M.;University of Michigan;1997",Miami University
"Adams, Robert J.;Pennsylvania State University;1971",Edinboro University
"Adams, Ronald G.;Kansas State University;1975","California State University, Chico"
"Adams, Shelia A.;University of Washington;1979",University of North Carolina Wilmington
"Adamson, Stanley R.;University of Pennsylvania;1991",Missouri State University
"Adekunle, Samuel;Nova Southeastern University;1982",Albany State University
"Adelman, Dan;Georgia Institute of Technology;1997",University of Chicago
"Adkins, Sidney",Meredith College
"Adler, Norman;University of Wisconsin, Madison;1958",Yeshiva University
"Adler, Philip;Ohio State University;1966",Georgia Institute of Technology
"Adler, Renatte K.;University of New Mexico;1979",San Diego State University
"Adrahams, Nii;Pennsylvania State University;1986",Missouri Southern State University
"Adrahams, Niradete",Missouri Southern State University
"Adrisson, Rick;University of Nebraska;1994",New Mexico State University
"Adusei, Edward O.;Virginia Polytechnic Institute and State University;1988",Longwood University
"Afiat, Medhi;Kansas State University;1985",Chadron State College
"Afifi, Ashraf S.;University of Kansas;1983",Ferris State University
"Afxentiou, Diamando;West Virginia University;1990",New York Institute of Technology
"Afza, Mainuddin;USSR",Bloomsburg University of Pennsylvania
"Agacer, Gilda M.;University of South Carolina;1987",Monmouth University
"Agell, Pere;Pol Cata",University of Navarra
"Agoglia, Chris P.;University of Massachusetts;1999",Drexel University
"Agrawal, Om P.;Jiwasi;1971",South Carolina State University
"Agresti, Albert;Ohio State University;1986",San Jose State University
"Ahiarah, Sol;University of Pittsburgh;1985",Buffalo State College
"Ahlseen, Mark J.;Texas A&M University;1986",Carson-Newman College
"Ahmad, Khurshi;University of Pennsylvania;1970",Wright State University
"Ahmad, Khurshid;University of Pennsylvania;1970",Wright State University
"Ahmadi, Hamid Z.;Claremont McKenna College;1983","California State University, Sacramento"
"Ahmed, Meherun;University of Washington;2006",Carleton University
"Ahrens, Ashley",University of Alaska Southeast
"Ahsmann, Leroy L.;Illinois Institute of Technology;1975",Roosevelt University
"Aitchison, Gary L.;Iowa State University;1972",Iowa State University
"Aiyegoro, Ademois;George Mason University;1990",Howard University
"Aiyegoro, Ademola;George Mason University;1990",Howard University
"Akacemn, Mohammed;University of Colorado;1984",Metropolitan State University of Denver
"Akalou, Woldie-Michael;University of California, Los Angeles",Texas Southern University
"Akel, Anthony M.;Northwestern University;1974",Holy Family College
"Akers, Michael D.;University of Mississippi;1988",Marquette University
"Akin, Rita M.;University of California, Santa Cruz;2002",Westminster College (Pennsylvania)
"Akinwande, B.",London Metropolitan University
"Al Deeb, Awad;Alexandria University;1993",King Saud University
"Al Khilani, Safa;WU;1991",Yarmouk University
"Al Momani, Munther T.;UST;1993",Yarmouk University
"Al Mudaf, Jassim;Birmingham University;1984",Kuwait University
"Al Rashed, Wael;University of Hull;1989",Kuwait University
"Al Salih, Subhi;University of Pittsburgh;1985",Yarmouk University
"Al Yasiri, Kahtan A.;Iowa State University;1965","University of Wisconsin, Platteville"
"Al-Abdul-Gader, Abdulla H.;University of Colorado;1988",King Fahd University of Petroleum & Minerals
"Al-Amari, Saleh;University of Glasgow;1989",King Saud University
"Al-Amin, Mohamed Badr;Zkzk;1988",King Saud University
"Al-Bassam, Sadeq M.;University of Texas at Austin;1980",Kuwait University
"Al-Darayseh, Musa;University of Nebraska;1990",Purdue University Calumet
"Al-Hazmi, Mohammed H.;University of Manchester;1996",King Fahd University of Petroleum & Minerals
"Al-Heizan, Osama;Syracuse University;1996",King Saud University
"Al-Hemaldi, Soud;Leeds University;1988",Kuwait University
"Al-Hmoud, Turki;University of Wales;1987",Yarmouk University
"Al-Hmound, Rasheed;Texas Tech University;1994",Texas Tech University
"Al-Khalaileh, Mahmound;CUNY, Baruch College;1992",Kuwait University
"Al-Rumaihi, Jassim S.;University of Dundee;1997",King Fahd University of Petroleum & Minerals
"Al-Rwita, Saad S.;University of Colorado;1993",King Saud University
"Al-Sabea, Taha H.;University of Southern California;1968","California State Polytechnic University, Pomona"
"Al-Sultan, Sultan;University of Missouri;1980",King Saud University
"Al-Tassan, Mohammed S.;University of Missouri;1983",King Saud University
"AlBarak, Mahdy;University of Glasgow;1995",Kuwait University
"AlSegini, Sabri;University of Warwick;1993",University of Sharjah
"Al_omari, Ahmad;University of Manchester;1994",Yarmouk University
"Alangari, Khaled H.;University of Oklahoma;1991",King Fahd University of Petroleum & Minerals
"Alavi, Maryann;Ohio State University",Emory University
"Alban, Edward;University of Georgia;1973",Savannah State University
"Albin, Marvin J.;University of Houston;1987",University of Southern Mississippi
"Albrecht, W. David;Virginia Polytechnic Institute and State University;1991",Bowling Green State University
"Albrecht, William P.;Yale University;1965",University of Iowa
"Alcala, Luis;University of Rochester;2006",University at Buffalo
"Alcerreca Joaquin, Carlos;University of Colorado;1988",Instituto Tecnológico Autónomo de México
"Aldwell, Patrick;University of Washington;1988",Lincoln University (New Zealand)
"Alemayehu, Tsehai;University of Kentucky;1979",Kentucky State University
"Aleseyed, M. Cyrus;West Virginia University;1995",West Virginia State University
"Alex, Theodore C.;University of Arkansas;1987",University of Findlay
"Alexander, F. David;University of Oklahoma;1978",Angelo State University
"Alexander, Paula;Rutgers University;1979",Seton Hall University
"Alexander, Peter;University of Massachusetts;1990",Hartwick College
"Alexander, Raquel M.;University of Texas at Austin;2001",University of North Carolina Wilmington
"Alexander, Robert P.;Ohio University;1969",Marshall University
"Alexander, Sherman;University of Kentucky;1995",Arkansas Tech University
"Alexandre, Maria T.;University of Illinois;2000",Case Western Reserve University
"Alford, J. Michael;University of Georgia;1986","Citadel, The Military College of South Carolina"
"Alford, Ray;Rensselaer Polytechnic Institute;1972",Robert Morris University
"Alford, V. Ray;Rensselaer Polytechnic Institute;1972",Robert Morris University
"Alghalith, Nabil;Missouri University of Science and Technology;1993",Truman State University
"Alhumaid, Abdulrhman I.;Louisiana State University;1981",King Saud University
"Alhusaini, Waleed;University of Sheffield;2000",Kuwait University
"Aliouche, El-Hachemi;University of New Hampshire;1990",Southern New Hampshire University
"Alizadeh, Parvin;University of Sussex;1985",Denison University
"Allan, J. R.;Princeton University",University of Regina
"Allayannis, Yiorgo (George);New York University;1996",University of Virginia
"Allen, Andrew T.;University of Illinois;1983",University of San Diego
"Allen, Craig;Arizona State University;1982","Brigham Young University, Hawaii"
"Allen, David;Georgia State University;1999",University of Memphis
"Allen, Ellen Parker;Southern Methodist University;1985",Southern Methodist University
"Allen, Fritz",University of New Mexico
"Allen, Larissa;Saint Peter's University;1996",Massey University
"Allen, Thomas E.;University of Minnesota;1978",Gallaudet University
"Allender, Mary E.;University of Oregon;1990",University of Portland
"Allesio, John;Georgetown University;1970",Marywood University
"Allgrunn, Michael;Michigan State University;2006",University of South Dakota
"Alli, Ali M.;Oklahoma State University;1968",Oklahoma City University
"Allison, Richard C.;Texas A&M University;1970","University of Houston, Clear Lake"
"Allotey, Traci;University of Pennsylvania;1996",Morgan State University
"Alltizer, Richard;University of Oklahoma;1994",Wichita State University
"Allyn, Compton;University of Cincinnati;1973",Northern Kentucky University
"Alnajji, Aras;University of Oklahoma;1995",Ohio Northern University
"Alpan, Erkan;University of California, Riverside;1984",Stockton University
"Alston, Oran;University of Pittsburgh;1999",University of Kansas
"Alt, Christopher B.;Massachusetts Institute of Technology;1982",Brandeis University
"Altazan, John E.;University of Illinois;1954",University of New Orleans
"Altfest, Lewis J.;CUNY;1978",Pace University
"Althaus, Ruth Ann;Ohio State University;1975",Saint Xavier University
"Altieri, Paul L.;Boston College;1976",Central Connecticut State University
"Alvarez, Jose Luis;Harvard University",University of Navarra
"Alvis, John M.;University of Arkansas;1982","University of Tennessee, Chattanooga"
"Alwabil, Wabil Ali;University of Missouri;1983",King Saud University
"Amaram, Donatus I.;Ohio State University;1976",Virginia State University
"Ambron, Sueann;Columbia University;1973","University of Colorado, Denver"
"Ambron, Susanne;Columbia University;1973","University of Colorado, Denver"
"Ambrose, Susanne;Columbia University;1973",University of Colorado Colorado Springs
"Amegbe, Annan;Catholic University of America;1977",Morgan State University
"Amer, Metwalli B.;University of Illinois;1966","California State University, Sacramento"
"Amerongen, Loretta;University of Alberta;1996",University of Alberta
"Ames, Gary Adna;University of Georgia;1988",Illinois State University
"Amin, R. John;University of Cincinnati;1978",Northwood University
"Amling, Frederick;University of Pennsylvania;1957",George Washington University
"Amoo, Taiwoo;University of Exeter;1992","CUNY, Brooklyn College"
"Amouzechar, Mahyar;University of California, Los Angeles;1995","California State University, Dominguez Hills"
"Amsler, Gordon;University of Alabama;1991",Troy State University
"Anabila, Andrew;Columbia University;2002",Pace University
"Anakwe, Uzo;Drexel University;1994","Pace University, Westchester"
"Anatweiler, Werner;University of Toronto;1996",University of British Columbia
"Andaersen, Nattian;University of Michigan;2005","University of Illinois, Chicago"
"Anders, Steven L.;Kansas State University;1988",Graceland University
"Anderson, A. Janell;University of California, Davis;1977","California State University, Sacramento"
"Anderson, Carole;Kent State University;1995",Clarion University of Pennsylvania
"Anderson, Clarence;1991",Walla Walla College
"Anderson, Clarence;University of Alabama;1996",Walla Walla College
"Anderson, Deborah;Cornell University;1998",University of New Mexico
"Anderson, Earl;University of Minnesota",Cleveland State University
"Anderson, John;Utah State University;2000",Appalachian State University
"Anderson, Melanie A.;University of Maryland, College Park;1986",University of the District of Columbia
"Anderson, Randy;University of Alabama;1996","CUNY, Baruch College"
"Anderson, Robert L.;University of Texas at Austin;1974",College of Charleston
"Anderson, Thomas;University of Iowa;1987",Framingham State College
"Anderson, William T.;Virginia Polytechnic Institute and State University;1984",Grove City College
"Andrea, George Y.;California Coast University;2001",University of Baltimore
"Andrews, Charles Haynes;Vanderbilt University;1967",Mercer University at Macon
"Andrews, Christine P.;Cleveland State University;1997",Hodges University
"Andrews, Katerina;Clemson University;2000",Wofford College
"Andrulis, John A.;Purdue University;1975",Western New England College
"Andrus, D. L.;Thclyde;1998",University of British Columbia
"Andrus, Jon M.;University of Arizona;1996","California State University, Fullerton"
"Andrus, Ray;Columbia University;1965",Brigham Young University
"Andrusco, Gene L.;Claremont McKenna College;1984","California State University, San Bernardino"
"Angima, Jacob M.;University of California, Los Angeles;1993",Prairie View A&M University
"Angkatavanich, Virote;The New School;1967",Fairleigh Dickinson University
"Ansong, Granville;Queen's University;1988",Saint Mary's University
"Anstine, Diane;University of Kentucky;1997",North Central College
"Antenucci, Joseph W.;Virginia Polytechnic Institute and State University;1993",Youngstown State University
"Anthony, Murray S.;University of Missouri;1975",East Tennessee State University
"Anton, Ronald J. SJ;Northwestern University;1989",Loyola University Maryland
"Antoniou, Peter H.;Alliant International University;1986",Mount St. Mary's College 
"Antouiou, Peter H.;Alliant International University;1986",Mount St. Mary's College 
"Antouiou, Peter;Alliant International University",Mount St. Mary's College 
"Anunoby, Ogugua;Brunel University;1987",Lincoln University
"Anyanwu, Casimar I.;University of Missouri;1977",Howard University
"Anyanwu, Casimir I.;University of Missouri;1977",Howard University
"Aphimeteetamrong, Virach;University of Illinois;1980",Chulalongkorn University
"Aponte, Marines;Wayne State University;2002",University of Puerto Rico
"Applegate, Michael J.;Iowa State University;1973",Oklahoma State University
"Aquirregabiria, Victor;Complutense University of Madrid;1995",University of Chicago
"Arabian, Ghodratollah;Indiana University;1985",Lincoln University
"Aranaoiva, Jana;Cornell University;2000",University of New Mexico
"Archibald, Glenn S.;University of Houston;1991",University of Mississippi
"Ardoin, Jean-Loup;University of Minnesota;1974",HEC Paris
"Ardon, Kenneth;University of California",Salem State College
"Arends, Stuart R.;Walden",Madonna University
"Arens, Alvin A.;University of Minnesota;1970",Michigan State University
"Arino, Maria Africa;University of California, Los Angeles",University of Navarra
"Arinze, Orakwue Bay;University of London;1987",Drexel University
"Arjunji, Ramesh;University of Texas, Dallas;1994",Yale University
"Arkley, Alfred S.;Michigan State University;1972","University of Illinois, Springfield"
"Arluck, Gregory M.;CUNY;1987",Yeshiva University
"Armstrong, Ken D.;Northwestern University;1985",Anderson University
"Armstrong, Ken D.;Northwestern University;1988",Anderson University
"Arndt, Terry L.;University of Arkansas;1973",Central Michigan University
"Arnold, Boyd E.;Pennsylvania State University;1974",York College of Pennsylvania
"Arnold, Clyde L.;University of Oklahoma;1982",Northern State University
"Arnold, Clyde;University of Oklahoma;1982",Northern State University
"Arnold, Jerry L.;University of Michigan;1975",University of Southern California
"Arnold, Victor L.;University of Wisconsin, Madison;1971",University of Texas at Austin
"Arogyaswawy, Bernard;Kent State University;1988",LeMoyne College
"Arvanites, Debra A.;Rensselaer Polytechnic Institute;1982",Villanova University
"Asamoah, Yaw;Washington University in St. Louis;1985",Indiana University of Pennsylvania
"Asdrubali, Pierfederuo;Brown University;1996",Michigan State University
"Asebrook, Richard J.;University of Wisconsin, Madison;1974",University of Massachusetts
"Ash, Steve",Franklin University
"Ashby, David",Western Oregon University
"Ashe, Amnon Vincent;Claremont McKenna College;1974",University of the District of Columbia
"Ashley, James R.;University of Wisconsin, Madison;1984",St. Catherine University
"Ashley-Cotleur, Catherine;George Washington University;1997",Frostburg State University
"Ashman, H. Lowell;University of Utah;1973",Lenoir-Rhyne College
"Ashorn, Leroy W. Jr.;University of Arkansas;1973",Sam Houston University
"Ashorn, Leroy W.;University of Arkansas;1973",Sam Houston University
"Askalani, Mohamed H.;Iowa State University;1970","Minnesota State University, Mankato"
"Askanas, Wiktor;University of Warsaw;1974",University of New Brunswick
"Askari, Ammar;Indiana University;1995",Indiana University-Purdue University Indianapolis
"Asmus, Karl H.;Michigan State University;1972",Ohio State University
"Assar, Henry",Shippensburg University
"Assefa, Zewdinah;University of Illinois;1980","University of Texas, Pan American"
"Assefa, Zewdineh;University of Illinois;1980","University of Texas, Pan American"
"Atansov, Vladimir;University of Pennsylvania;2002",Babson College
"Atas, Daniel;University of Oxford;1995",Hebrew University of Jerusalem
"Atencio, Leonard D.;Kansas State University;1969",Fort Lewis College
Athanassiou;University of South Carolina;1995,Northeastern University
"Atieh, Sulayman H.;University of Arizona;1975",King Fahd University of Petroleum & Minerals
"Atkinson, MaryAnne;Drexel University;1990",Central Washington University
"Atoli, Manoj;Indiana University;2004",Florida State University
"Attaway, Alan N.;University of Cincinnati;1983",University of Louisville
"Atuaheme-Gima, Kwaku;University of Wollongong;1992",City University Hong Kong
"Atxentiou, Diamondo;West Virginia University;1984",New York Institute of Technology
"Auger, Patrice;Syracuse University;1997",City University Hong Kong
"Aulahk, Preetmahinter S.;University of Michigan",Temple University
"Aulerich, John R.;Syracuse University;2000","University of Wisconsin, Whitewater"
"Aungst, Stanley G.;Pennsylvania State University",Pennsylvania State University
"Austen, Andrew;University of Pennsylvania;1991",Bowdoin College
"Austen, Lisa;University of Florida;1997",University of Arkansas
"Auster, Rolf;Northwestern University;1971",Florida International University
"Austin, Adrian;Duke University;1998",University of Miami
"Austin, John A.;Arizona State University;1972","Louisiana State University, Shrevenport"
"Austin, Timothy",College of the Holy Cross
"Authement, Joel;Georgia State University;1970","University of Louisiana, Lafayette"
"Auxier, Albert L.;University of Iowa;1974",University of Tennessee
"Avan, Ronni;University of Chicago;2005",University of Rochester
"Avend, richard;University of British Columbia;1993",New York University
"Avery, Reginald S.",Benedict College
"Avery-Peck, Alan J.;Brown University",Tulane University
"Avila, Steve;Florida State University;1993",Ball State University
"Avis, Yu-Jung L.;Rutgers University",College of Saint Rose
"Aycock, Alan;Georgia State University",Morehouse College
"Aydmir, Ozdemir;University at Albany;2002",West Virginia State University
"Ayers, Ronald M.;Tulane University;1978","University of Texas, San Antonio"
"Ayling, David E.;Aston University;1982",Bangor University
"Azad, Hamid R.;Utah State University",York College of Pennsylvania
"Azevedo, Christopher;Iowa State University;1999",University of Central Missouri
"Bachmann, Ralph;University of Michigan;2000",Nanyang Technological University
"Backmeier, Lance J.;Texas A&M University;2002",East Carolina University
