dep,name,rank,area,degree,grad_year,school,since,annotation
Abilene Christian Univ,"Lytle, Richard S.",Dean,Mktg,PHD,94,Ariz St,1991,
Abilene Christian Univ,"Lynn, Monty L.",C-Ac,Mgt,PHD,85,Brighm Yg,1985,
Abilene Christian Univ,"Brister, Jozell",Assoc,,MS,73,North Tx,1980,
Abilene Christian Univ,"Bartee, Jim",Asst,,MA,88,Tx-Austin,1991,
Abilene Christian Univ,"Shepherd, Ian",Asst,,DA,98,Mid Tenn,2003,
Adams State College,"Weston, Rafael R.",Dean,,PHD,72,Harvard,1988,
Adams State College,"Ellis, Theodore",Prof,,PHD,72,Colo St,1967,
Adams State College,"Keiser, Kurt J.",Asst,,ABD,,Colo St,,
Adams State College,"Lyell, Ed",Asst,,PHD,,Colorado,,
Adelphi University,"Libertella, Anthony F.",Dean,Mgt,PHD,72,Ohio St,2000,
Adelphi University,"Gleicher, David",Assoc,BJ,PHD,84,Columbia,1981,
Adelphi University,"Machlis, David",Assoc,E,PHD,71,Rutgers,1968,
Adelphi University,"Henowitz, Harvey",Asst,,MBA,,Adelphi,,
Adelphi University,"Torras, Mariano",Asst,FOP,PHD,,Mass,,
Adrian College,"Bachman, William",C-Pr,Mgt,ABD,73,Kentucky,8-81,
Adrian College,"Habib, Ahsan M.",Prof,,PHD,80,McMaster,1981,
University of Akron,"Creel, Roger",Dean,,PHD,69,Iowa St,1970,
University of Akron,"Nelson, Michael A.",C-Pr,AH,PHD,80,Purdue,2000,
University of Akron,"Garofalo, Gasper A.",Prof,ADR,PHD,74,Pittsburgh,1979,
University of Akron,"Malhotra, Devinder",Prof,ADR,PHD,79,Kansas St,1979,
University of Akron,"McGuire, Robert A.",Prof,AKN,PHD,78,U Wash,1990,
University of Akron,"Erickson, Elizabeth L.",Assoc,AOQ,PHD,72,Illinois,1969,
University of Akron,"Ghosh, Sucharita",Assoc,AEF,PHD,93,Kansas,1993,
University of Akron,"King, Randall H.",Assoc,ADJ,PHD,78,Ohio St,1978,
University of Akron,"Myers, Steven",Assoc,ACJ,PHD,80,Ohio St,1979,
University of Akron,"Stratton, Richard",Assoc,ADJ,PHD,77,Conn,1978,
University of Akron,"Renna, Francesco",Asst,AIJ,PHD,2,Arizona,2002,
University of Alabama,"Mason, J. Barry",Dean,Mktg,PHD,67,Alabama,1967,Russell Professor of Business Administration
University of Alabama,"Helms, Billy P.",H-Pr,Fnce,PHD,73,Tennessee,1973,
University of Alabama,"Cover, James P.",Prof,,PHD,82,Virginia,1982,
University of Alabama,"Elder, Harold W.",Prof,,PHD,82,Va Tech,1981,
University of Alabama,"Enders, Walter",Prof,EF,PHD,75,Columbia,2000,
University of Alabama,"Leathers, Charles G.",Prof,,PHD,68,Oklahoma,1968,
University of Alabama,"Misiolek, Walter S.",Prof,,PHD,76,Cornell,1975,Senior Associate Dean & Director of Graduate Programs
University of Alabama,"Pecorino, Paul",Prof,,PHD,90,Duke,1994,
University of Alabama,"Schlesinger, Harris",Prof,,PHD,80,Illinois,1987,
University of Alabama,"Boylan, Richard",Assoc,DHK,PHD,91,Cal Tech,2002,
University of Alabama,"Hooks, Donald L.",Assoc,,PHD,71,Tx A&M,1971,
University of Alabama,"Lee, Junsoo",Assoc,E,PHD,91,Mich St,2003,
University of Alabama,"Silver, J. Lew",Assoc,,PHD,80,Duke,1990,
University of Alabama,"Dakhlia, Sami F.",Asst,,PHD,98,Wash U,1999,
University of Alabama,"Hoover, Gary A.",Asst,,PHD,98,Wash U,1998,
University of Alabama,"Temimi, Akram",Asst,,PHD,96,Illinois,1996,
U of Alabama at Birmingham,"Holmes, Robert E.",Dean,Mgt,PHD,71,Arkansas,1-99,
U of Alabama at Birmingham,"Nail, Lanoe A.",C,,,,,,
U of Alabama at Birmingham,"Bos, Theodore",Prof,CG,PHD,82,Illinois,1982,
U of Alabama at Birmingham,"Lee, Seung-Dong",Prof,CDFQ,PHD,79,So Meth,1979,
U of Alabama at Birmingham,"Stanford, Robert",Prof,C,PHD,71,Berkeley,1982,
U of Alabama at Birmingham,"VanMatre, Joe G.",Prof,C,PHD,70,Alabama,1971,
U of Alabama at Birmingham,"Culver, Sarah E.",Assoc,CEFG,PHD,93,Houston,1993,
U of Alabama at Birmingham,"Dasgupta, Manabendra",Assoc,CDHL,PHD,89,So Meth,1992,
U of Alabama at Birmingham,"Ignatin, George",Assoc,AJK,PHD,69,Tx-Austin,1969,
U of Alabama at Birmingham,"Sutton, Bryce",VAsst,,PHD,3,St Louis,2003,
U of Alabama in Huntsville,"Billings, C. David",Dean,H,PHD,69,Missouri,1981,
U of Alabama in Huntsville,"Wilhite, Allen W.",C-Pr,DK,PHD,81,Illinois,1988,
U of Alabama in Huntsville,"Schnell, John F.",Prof,J,PHD,84,Illinois,1990,
U of Alabama in Huntsville,"Schoening, Niles C.",Prof,R,PHD,83,Tennessee,1983,
U of Alabama in Huntsville,"Allen, W. David",Assoc,J,PHD,94,Arkansas,1994,
Alabama A&M University,"Jones, Barbara A. P.",Dean,AP,PHD,73,Geo St,1997,
Alabama A&M University,"Rahimian, Eric N.",C-Pr,ADOF,PHD,75,Indiana,1975,
Alabama A&M University,"Alexander, James G.",Prof,EAOH,PHD,89,Tx-Austin,1983,
Alabama A&M University,"Elike, Uchenna I.",Prof,AOF,PHD,85,Alabama,1985,
Alabama A&M University,"Robbani, Mohammad G.",Assoc,GO,PHD,94,Fla Intl,9-94,
